location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230111T1200,9.350245
20230111T1300,9.230246
20230111T1400,9.390245
20230111T1500,9.3102455
20230111T1600,8.860246
20230111T1700,8.590245
20230111T1800,8.290245
20230111T1900,7.860245
20230111T2000,7.8402452
20230111T2100,7.6002455
20230111T2200,7.440245
20230111T2300,7.480245
20230112T0000,7.4102454
20230112T0100,7.380245
20230112T0200,7.650245
20230112T0300,7.7002454
20230112T0400,8.020246
20230112T0500,8.240246
20230112T0600,8.470245
20230112T0700,8.430245
20230112T0800,8.650246
20230112T0900,8.850245
20230112T1000,9.0602455
20230112T1100,9.300245
20230112T1200,9.740245
20230112T1300,9.960245
20230112T1400,10.070246
20230112T1500,10.010245
20230112T1600,9.720245
20230112T1700,9.870245
20230112T1800,10.080245
20230112T1900,10.100245
20230112T2000,10.290245
20230112T2100,10.410245
20230112T2200,10.600245
20230112T2300,10.720245
20230113T0000,10.510245
20230113T0100,10.440246
20230113T0200,10.180245
20230113T0300,9.930245
20230113T0400,9.570246
20230113T0500,9.530245
20230113T0600,9.700245
20230113T0700,9.780245
20230113T0800,9.660245
20230113T0900,9.550245
20230113T1000,9.400246
20230113T1100,9.3102455
20230113T1200,9.550245
20230113T1300,9.320246
20230113T1400,9.570246
20230113T1500,8.750245
20230113T1600,8.130245
20230113T1700,7.6202455
20230113T1800,7.7202454
20230113T1900,7.7202454
20230113T2000,7.770245
20230113T2100,7.7002454
20230113T2200,7.2602453
20230113T2300,6.940245
20230114T0000,6.9102454
20230114T0100,6.520245
20230114T0200,6.3202453
20230114T0300,6.5902452
20230114T0400,6.500245
20230114T0500,6.880245
20230114T0600,7.2002454
20230114T0700,7.3302455
20230114T0800,7.3302455
20230114T0900,8.030246
20230114T1000,8.330246
20230114T1100,9.170245
20230114T1200,9.880245
20230114T1300,10.5602455
20230114T1400,10.820246
20230114T1500,10.330245
20230114T1600,10.350245
20230114T1700,10.180245
20230114T1800,10.420245
20230114T1900,10.710245
20230114T2000,10.740245
20230114T2100,10.820246
20230114T2200,10.940246
20230114T2300,11.300245
20230115T0000,11.950245
20230115T0100,12.240245
20230115T0200,12.130245
20230115T0300,12.130245
20230115T0400,12.160245
20230115T0500,12.180245
20230115T0600,11.860246
20230115T0700,10.590245
20230115T0800,7.6402454
20230115T0900,5.650245
20230115T1000,5.1602454
20230115T1100,5.0702453
20230115T1200,4.940245
20230115T1300,5.270245
20230115T1400,5.8402452
20230115T1500,5.8502455
20230115T1600,5.1202455
20230115T1700,4.690245
20230115T1800,4.5402455
20230115T1900,4.5902452
20230115T2000,4.420245
20230115T2100,4.5202456
20230115T2200,4.2702456
20230115T2300,4.420245
20230116T0000,4.690245
20230116T0100,4.610245
20230116T0200,4.8902454
20230116T0300,4.630245
20230116T0400,3.8202453
20230116T0500,3.8602452
20230116T0600,3.5902452
20230116T0700,3.8602452
20230116T0800,3.9802456
20230116T0900,4.2702456
20230116T1000,5.0602455
20230116T1100,5.860245
20230116T1200,6.3702455
20230116T1300,6.8302455
20230116T1400,6.3102455
20230116T1500,6.000245
20230116T1600,5.900245
20230116T1700,5.500245
20230116T1800,5.5302453
20230116T1900,4.980245
20230116T2000,4.3002453
20230116T2100,3.9502454
20230116T2200,3.7702456
20230116T2300,3.3902454
20230117T0000,3.3602452
20230117T0100,3.3702455
20230117T0200,3.2602453
20230117T0300,2.4302454
20230117T0400,1.8702455
20230117T0500,1.0502454
20230117T0600,1.3402455
